Day,W251MinutesAsleep,W261MinutesAsleep,W251MinutesAwake,W261MinutesAwake,W251MinutesREMSleep,W261MinutesREMSleep,W251MinutesLightSleep,W261MinutesLightSleep,W251MinutesDeepSleep,W261MinutesDeepSleep
1,343,304,40,50,99,50,200,200,44,54
2,346,347,53,49,78,77,237,243,31,27
3,375,278,42,37,53,72,301,159,21,47
4,324,260,73,34,68,34,223,200,33,26
5,498,481,78,81,99,86,308,327,91,68
6,312,347,55,41,84,101,173,179,55,67
7,197,337,36,52,17,77,162,181,18,79
8,402,311,47,36,92,38,247,239,63,34
9,365,367,46,64,82,76,219,247,64,44
10,389,340,80,34,97,75,217,202,75,63
11,430,411,80,44,56,108,318,237,56,66
12,314,407,58,63,68,87,202,255,44,65
13,343,348,40,69,65,36,203,262,75,50
14,292,330,36,57,46,39,225,221,21,70
15,348,341,43,60,74,77,241,227,33,37
16,352,360,54,66,75,81,257,198,20,81
17,410,331,88,41,117,97,217,189,76,45
18,323,363,47,70,91,47,181,250,51,66
19,311,315,60,61,44,37,214,244,53,34
20,274,419,48,70,54,82,177,282,43,55
21,378,386,70,45,65,83,279,241,34,62
22,443,325,88,73,84,30,308,242,51,53
23,456,341,82,38,111,86,253,230,92,25
24,366,379,63,70,78,96,235,254,53,29
25,327,394,64,58,82,80,221,260,24,54
26,306,425,63,61,52,86,206,261,48,78
27,360,334,63,59,64,57,262,243,34,34
28,324,470,63,84,52,115,249,289,23,66
29,347,358,42,79,97,39,208,268,42,51
30,363,415,47,87,74,39,239,345,50,31
31,340,386,45,61,49,72,236,247,55,67
32,326,447,61,71,57,97,212,296,57,54
33,409,352,62,55,90,75,242,220,77,57
34,375,361,39,46,103,89,219,220,53,52
35,442,376,73,65,116,70,258,272,68,34
36,461,362,85,63,79,90,316,223,66,49
37,374,365,63,72,72,59,274,243,28,63
38,355,354,50,82,35,57,278,215,42,82
39,336,491,55,87,67,55,229,377,40,59
40,431,406,55,79,149,125,194,196,88,85
41,503,396,90,62,137,104,312,209,54,83
42,321,358,38,64,66,68,220,219,35,71
43,366,365,62,62,75,51,251,255,40,59
44,314,361,48,75,9,70,265,248,40,43
45,339,351,51,41,65,86,207,223,67,42
46,369,409,60,92,99,56,225,289,45,64
47,316,390,35,63,63,102,237,265,16,23
48,389,332,49,76,116,73,217,211,56,48
49,440,349,108,49,85,83,292,221,63,45
50,356,339,60,60,95,42,212,264,49,33
51,396,417,63,44,81,85,287,273,28,59
52,323,321,80,56,20,49,255,219,48,53
53,312,343,48,56,55,32,241,252,16,59
54,313,170,58,18,59,22,245,123,9,25
55,241,329,32,85,57,20,155,271,29,38
56,421,366,66,46,84,83,289,248,48,35
57,316,366,56,69,34,84,238,234,44,48
58,358,372,50,76,92,54,240,281,26,37
59,333,301,52,86,56,37,242,217,35,47
60,314,349,53,57,39,96,254,171,21,82